gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 32 847
YAL068W-A 14 241
PAU8 3 5
YAL067W-A 9 59
SEO1 43 1774
YAL066W 16 682
YAL065C 8 61
YAL064W-B 4 6
TDA8 7 75
YAL064W 11 93
YAL063C-A 17 663
FLO9 59 1604
GDH3 127 7580
BDH2 69 4702
BDH1 66 2983
YAL059C-A 8 72
ECM1 15 427
CNE1 56 3220
YAL056C-A 15 1094
GPB2 65 1865
PEX22 37 1214
ACS1 77 3925
FLC2 59 3119
OAF1 94 6172
AIM2 19 620
GEM1 15 185
YAL047W-A 14 383
SPC72 10 530
AIM1 6 479
YAL045C 13 276
YAL044W-A 14 311
GCV3 3 61
PTA1 3 9
YAL042C-A 25 671
ERV46 101 5845
CDC24 6 5
CLN3 19 360
CYC3 21 565
CDC19 5 5
YAL037C-B 3 3
YAL037C-A 8 231
YAL037W 38 1525
RBG1 46 2320
FUN12 6 361
YAL034C-B 30 2046
MTW1 19 307
FUN19 64 2962
POP5 1 0
PRP45 27 877
YAL031W-A 12 507
GIP4 59 3063
SNC1 18 787
MYO4 125 6981
FRT2 49 2162
SAW1 36 997
YAL026C-A 22 312
DRS2 26 688
MAK16 1 0
LTE1 54 1829
PMT2 18 395
FUN26 85 3051
CCR4 18 887
ATS1 61 2724
YAL019W-A 71 5956
FUN30 53 1725
LDS1 59 1990
PSK1 128 7082
YAL016C-B 16 261
YAL016C-A 12 290
TPD3 2 3
NTG1 79 5102
SYN8 30 1749
DEP1 38 639
CYS3 4 3
SWC3 37 1043
MDM10 1 0
SPO7 17 345
FUN14 51 3521
ERP2 51 2072
SSA1 97 5304
YAL004W 10 426
EFB1 0 0
VPS8 250 17081
TFC3 10 146
NUP60 151 5407
ERP1 78 3870
SWD1 45 1475
RFA1 4 102
SEN34 3 2
BUD14 115 5058
ADE1 1 0
KIN3 41 1213
CDC15 5 37
YAR019W-A 56 4375
PAU7 10 323
YAR023C 54 3417
UIP3 52 3331
YAR028W 31 1797
YAR029W 9 154
YAR030C 11 322
PRM9 31 1446
MST28 32 704
YAT1 357 18329
YAR035C-A 20 518
SWH1 129 7738
YAR047C 0 0
FLO1 87 3936
YAR053W 5 35
YAR060C 2 1
YAR064W 10 292
YAR066W 2 1
YAR068W 1 0
YAR069C 1 0
YAR070C 1 0
PHO11 8 8
IMD1 4 3
YAR075W 0 0
YBL113C 22 104
YBL113W-A 4 4
YBL112C 1 0
YBL111C 34 47
YBL109W 37 870
PAU9 0 0
YBL108W 18 428
YBL107W-A 0 0
MIX23 25 1045
SRO77 55 2802
PKC1 9 8
SEA4 71 5109
RTG3 7 223
SFT2 26 474
ECM21 68 4458
YBL100W-C 10 209
YBL100C 0 0
ATP1 2 1
BNA4 34 1801
BRN1 12 865
YBL096C 24 1283
YBL095W 37 1384
YBL094C 13 230
ROX3 4 42
RPL32 0 0
SCS22 18 803
MAP2 31 1134
MRP21 0 0
AVT5 40 915
TEL1 107 4998
RPL23A 13 211
YBL086C 19 489
BOI1 70 2741
CDC27 6 33
YBL083C 3 5
ALG3 11 102
YBL081W 10 124
PET112 1 0
NUP170 34 953
ATG8 2 8
YBL077W 19 983
ILS1 0 0
SSA3 99 4707
AAR2 30 1418
YBL073W 31 2023
RPS8A 6 40
YBL071C-B 5 13
KTI11 5 29
YBL071C 19 511
YBL070C 6 101
AST1 25 852
YBL068W-A 2 1
PRS4 12 203
UBP13 22 1697
SEF1 44 1575
YBL065W 18 451
PRX1 17 497
KIP1 108 6580
YBL062W 11 451
SKT5 31 1535
YEL1 50 3214
CMC2 0 0
YBL059W 15 349
SHP1 14 318
PTH2 29 1679
PTC3 13 189
YBL055C 34 1068
TOD6 32 1544
YBL053W 9 269
SAS3 73 4028
PIN4 18 285
SEC17 1 0
MOH1 6 21
RRT1 10 196
EDE1 42 2028
PSY4 43 1014
COR1 0 0
YBL044W 56 2963
ECM13 15 741
FUI1 74 2290
PRE7 2 1
ERD2 9 33
YBL039W-B 3 51
URA7 31 481
YBL039C-A 0 0
MRPL16 1 0
APL3 51 1573
YBL036C 21 700
POL12 5 203
STU1 12 173
RIB1 7 20
HEK2 19 598
SHE1 28 1534
PET9 0 0
YBL029C-A 15 187
YBL029W 74 4111
YBL028C 21 1845
RPL19B 6 135
LSM2 0 0
RRN10 1 0
NCL1 69 3278
MCM2 7 12
PIM1 8 12
HAP3 12 145
RFT1 3 2
APN2 85 4465
POP8 5 27
PEP1 89 4779
FUS3 125 9425
ACH1 88 6872
RRN6 12 446
FMT1 39 2375
YBL012C 49 2997
SCT1 120 7526
YBL010C 45 1927
ALK2 110 5445
YBL008W-A 26 532
HIR1 109 5057
SLA1 43 1653
LDB7 42 1826
YBL006W-A 20 802
PDR3 171 9708
UTP20 9 12
HTA2 56 1852
HTB2 74 5101
ECM15 64 5898
NTH2 307 19839
RER2 34 1595
COQ1 21 726
GPI18 4 3
RCR1 107 6905
UGA2 152 12144
DSF2 275 24097
FLR1 156 7325
HHF1 5 29
HHT1 23 409
IPP1 3 3
YBR012C 0 0
YBR013C 5 45
GRX7 34 793
MNN2 39 1160
YBR016W 38 1020
KAP104 12 248
GAL7 5 6
GAL10 14 206
GAL1 32 1439
FUR4 71 1978
POA1 36 1680
CHS3 43 1040
SCO2 36 768
OLA1 13 438
ETR1 4 5
YBR027C 41 1459
YPK3 46 1571
CDS1 12 69
RKM3 36 824
RPL4A 12 254
YBR032W 44 1864
EDS1 114 4809
HMT1 14 625
PDX3 3 3
CSG2 9 265
SCO1 4 31
CHS2 7 10
ATP3 0 0
FIG1 12 162
FAT1 10 110
CST26 43 1284
QDR3 51 1582
TCM62 20 739
GIP1 38 1689
ZTA1 29 566
FMP23 16 601
RPS11B 5 36
REB1 2 1
REG2 38 986
YBR051W 16 87
RFS1 17 383
YBR053C 33 1328
